scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2034,1,100,default age groups,12979250,0.5100000000000000088818,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2037,1,100,default age groups,13367605,0.5100000000000000088818,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2040,1,100,default age groups,13743463,0.5100000000000000088818,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2011,1,100,default age groups,1232087741.5,0.0000256085658003440186,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2025,1,100,default age groups,1432089617,0.2222343760148197677751,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2028,1,100,default age groups,1469367477,0.2222343760148197677751,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2031,1,100,default age groups,1504189534,0.2222343760148197677751,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2034,1,100,default age groups,1536254267,0.2222343760148197677751,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2037,1,100,default age groups,1565220827.5,0.2222343760148197400195,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IND,India,2040,1,100,default age groups,1590929228.5,0.2222343760148197400195,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2025,1,100,default age groups,89313488.5,0.001471818952857394721,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2028,1,100,default age groups,90971578.5,0.0014718189528573949378,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2031,1,100,default age groups,92343507.5,0.001471818952857394721,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2034,1,100,default age groups,93507659.5,0.0014718189528573949378,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2037,1,100,default age groups,94538686,0.001471818952857394721,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRN,"Iran, Islamic Republic of",2040,1,100,default age groups,95482710,0.0014718189528573949378,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2015,1,100,default age groups,36580052.5,0.0000554133237541285065,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2025,1,100,default age groups,46337796,0.0556384865344593249059,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2028,1,100,default age groups,49419800.5,0.055638486534459317967,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2031,1,100,default age groups,52577343,0.0556384865344593249059,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,IRQ,Iraq,2034,1,100,default age groups,55817145.5,0.055638486534459317967,both,1
